file,label,code_summary
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/repo_callgraph_clusters/3DOD_thesis/cluster_0.py,LLM-based Multimodal Generative Prompting,"This code implements a data preparation pipeline for 3D object detection using frustum-based point cloud networks, processing multimodal LiDAR and image data. It demonstrates key AI patterns such as projecting LiDAR points into 2D frustums, sampling and canonicalizing point clouds to a standard orientation, and generating labels for instance segmentation, 3D bounding box regression, and robust orientation prediction via a binning and residual approach."
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/repo_callgraph_clusters/3DOD_thesis/cluster_1.py,none,"This code demonstrates a model-based 3D object pose estimation pattern, utilizing least-squares optimization to refine 3D bounding box parameters by minimizing residuals between projected 3D keypoints and predicted 2D keypoints, alongside size and distance regularization. Complementing this, PyTorch Dataset classes implement robust data preparation for deep learning, featuring image preprocessing, normalization, and extensive data augmentation (random scaling, shifting, and flipping) to train models for 3D object regression tasks."
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/repo_callgraph_clusters/3DOD_thesis/cluster_10.py,LLM-based Multimodal Generative Prompting,"This code implements data preprocessing patterns for frustum-based 3D object detection, leveraging both LiDAR point clouds and 2D images. It features point cloud frustum extraction, canonicalization via rotation and mean subtraction, and generation of ground truth for instance segmentation and 3D bounding box regression (center, dimensions, orientation, corners). Additionally, it prepares 2D image crops with corresponding 3D-derived targets like object size residuals and 2D projections of 3D keypoints for image-based 3D inference."
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/repo_callgraph_clusters/3DOD_thesis/cluster_3.py,Preprocessing Text and Numerical Data,"This code implements an **orientation binning pattern**, a specific form of **discretization** that maps a continuous angular input into one of four discrete categories. This process is a common **feature engineering technique** in AI, transforming raw directional data into a categorical representation. Such binned features are valuable inputs for various machine learning algorithms."
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/repo_callgraph_clusters/3DOD_thesis/cluster_4.py,none,"This code implements a PyTorch dataset specifically designed for frustum-based 3D object detection, preparing LiDAR point clouds by projecting them into camera frustums derived from 2D bounding box annotations. It incorporates extensive data augmentation techniques, including random 2D bounding box shifts/scales, frustum rotation, translation, flipping, and ground truth object-specific rotations, along with point cloud sampling. The dataset generates structured labels for multi-task learning, providing instance segmentation masks, augmented 3D object centers, 3D bounding box dimensions, orientation bins/residuals, and 3D corner coordinates."
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/repo_callgraph_clusters/3DOD_thesis/cluster_5.py,none,"This code defines a PyTorch Dataset for frustum-based 3D object detection, integrating LIDAR point clouds and 2D image data. It preprocesses raw sensor inputs by performing coordinate transformations, generating frustum point clouds, and applying augmentations like 2D bounding box jittering, point cloud sampling, 3D rotation to a canonical view, and spatial shifts. The pipeline generates labels for instance segmentation, 3D object center regression, and 3D bounding box parameters, including orientation encoded via a bin and residual scheme."
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/repo_callgraph_clusters/3DOD_thesis/cluster_8.py,LLM-based Multimodal Generative Prompting,"This code demonstrates AI patterns for 3D object detection data preparation, specifically for Frustum PointNet and image-based methods. It involves parsing 2D/3D bounding box labels and LiDAR data, performing complex geometric transformations to generate frustum point clouds, and encoding 3D object orientation into bin and residual values. Furthermore, it applies extensive data augmentation techniques like random 2D bounding box perturbations, frustum point cloud transformations (shifting, flipping, rotation), and image flipping with corresponding 3D label adjustments, preparing multi-modal inputs for distinct network heads."
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/repo_callgraph_clusters/3DOD_thesis/cluster_9.py,LLM-based Multimodal Generative Prompting,"This code implements data loading and preprocessing patterns for multimodal 3D object detection and tracking, primarily utilizing the KITTI dataset. It extracts and transforms LiDAR point clouds within 2D bounding box frustums, sampling them to a fixed size and normalizing them into a canonical, centered coordinate system. Simultaneously, 2D image patches corresponding to these detections are cropped, resized, and normalized using ImageNet statistics, preparing both modalities for neural network inference."
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/repo_callgraph_clusters/AIlice/cluster_0.py,MLOps,"This community centers on enabling efficient local AI inference, particularly for large language models (LLMs) via the `llama-cpp-python` library. It specifically configures the GGML framework for optimal performance across diverse hardware accelerators, supporting NVIDIA CUDA, AMD ROCm (HIPBLAS), and Vulkan. The code demonstrates a commitment to cross-vendor compatibility for AI model execution by dynamically detecting and setting up the appropriate build flags."
https://github.com/HasinthakaPiyumal/AI-Pattern-Mining-Project/tree/main/notebooks/result/repo_callgraph_clusters/AIlice/cluster_1.py,Agent Architecture,"This code demonstrates a multi-agent orchestration pattern, where an `AProcessor` coordinates specialized AI agents defined by various `APrompt` types (e.g., chat, search, coder). It extensively employs a tool-use pattern, integrating external services like vector databases for Retrieval Augmented Generation (RAG), search engines, and speech modules to augment the AI's capabilities. Furthermore, the system manages conversational state and history, supporting persistent, multi-turn interactions across different sessions."
